manufacturer,manufacturer_part_number,product_title,product_type,material,size,end_connection,pressure_rating,temperature_range,certifications,description
Northstar Flow Systems,NFS-BV-1044,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1045,25.4 mm Full Port Ball Valve,,Brass,25.4 mm,NPT,,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1046,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1047,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1048,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1049,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1050,1 in Full Port Ball Valve,,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1051,25.4 mm Full Port Ball Valve,Ball Valve,Brass,25.4 mm,NPT,1200 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1052,1 in Full Port Ball Valve,Ball Valve,,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1053,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1054,1 in Full Port Ball Valve,Ball Valve,Brass,1 in,Flanged,,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1055,25.4 mm Full Port Ball Valve,,SS304,25.4 mm,,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1056,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1057,25.4 mm Full Port Ball Valve,Ball Valve,Brass,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1058,1 in Full Port Ball Valve,Ball Valve,SS304,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1059,25.4 mm Full Port Ball Valve,Ball Valve,SS304,25.4 mm,NPT,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
Northstar Flow Systems,NFS-BV-1001,1 in Full Port Ball Valve,,Brass,1 in,Flanged,600 WOG,-20 C to 180 C,API 607; ISO 9001,Synthetic batch row for deterministic catalog-health demo.
